Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CONTENTS,,,,,CORPORATE GOVERNANCE ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"MinRes' corporate governance structure consists of a Board of Directors (Board), whose role it is to represent shareholders, promote and protect the interests of the Company, and to build sustainable value for our shareholders. The Board discharges this responsibility by having regard for the interests of all relevant stakeholders. 

The Board consists of four established sub-committees, shown in Figure 1, which provide assistance and recommendations to the Board in fulfilling their responsibilities and oversight of the social, ethical, and environmental impact of the Company's operations, approving policies and monitoring compliance with the Company's sustainability policies and practices. Refer to our 2023 Sustainability Report for further information.

All policies and procedures are internally reviewed and managed by our senior leadership team and further reviewed by the Sustainability Committee and approved by the Board when related to corporate governance documents. 

Our corporate governance documents are made publicly available on our website.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,GRI 2.9 | Governance structure and composition ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Figure 1: Sustainability governance structure ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GRI 2-23 | Policy commitments,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 1: Key corporate governance documents & policies,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,          Updated disclosures in FY23,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Key corporate governance documents,,,Charters,,,Governance policies,,,,,,,,,,,,,,,,,,
,,,,,,Appendix 4G ASX Key Governance Disclosures,,,Board Charter,,,Anti-Bribery and Corruption Policy ,,,,,,,,,,,,,,,,,,
,,,,,,Corporate Governance Statement,,,Audit and Risk Committee Charter,,,Climate Change Policy ,,,,,,,,,,,,,,,,,,
,,,,,,,,,Nomination Committee Charter,,,Code of Conduct and Business Integrity ,,,,,,,,,,,,,,,,,,
,,,,,,,,,Performance Evaluation Practices Procedure,,,Community Policy,,,,,,,,,,,,,,,,,,
,,,,,,,,,Selection and Appointment of Director Procedure,,,Continuous Disclosure Policy,,,,,,,,,,,,,,,,,,
,,,,,,,,,Remuneration & People Committee Charter,,,Diversity and Inclusion Policy ,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sustainability Committee Charter,,,Enterprise Risk Management Policy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Environment Policy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Gendered Violence Position Statement,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Health and Safety Policy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Human Rights Policy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Indigenous Peoples Policy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Investor Engagement Policy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Mental Health Policy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Political Donations Policy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Related Party Transactions Policy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Responsible Production Policy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Securities Trading Policy ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Supplier Code of Conduct ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sustainability Policy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Tailings Storage Facility Policy ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Whistleblower Policy ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Whistleblower Procedure,,,,,,,,,,,,,,,,,,
